"forma_vendita_edicole","Ubicazione","TipoVia","DescrizioneVia","Civico","CodiceVia","ZD","settore_storico_ed","superficie_occupata","vendita_esclusiva"
"rivendita in stazione metrop.","codvia 9210 mm2 gioia, (z.d. 9)","VIA ","SAN BENIGNO","4","3247","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9211 mm2 gariba, (z.d. 9)","VIA ","WATT GIACOMO","2","5292","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9212 mm2 moscov, (z.d. 1)","VIA ","BARBAVARA","","5108","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9213 mm2 lanza, (z.d. 1)","VIA ","WATT GIACOMO","2","5292","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9214 mm2 cadorn, (z.d. 1)","VIA ","DON RODRIGO","2","5416","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9215 mm2 s. amb, (z.d. 1)","VIA ","BAGAROTTI MAFFEO","40","6585","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9216 mm2 s. ago, (z.d. 1)","VIA ","BARBAVARA","","5108","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9217 mm2 pta ge, (z.d. 6)","VLE ","MONZA","70","2274","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9218 mm2 romolo, (z.d. 6)","VLE ","ARGONNE","32","3254","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9219 mm2 famago, (z.d. 6)","CSO ","MAGENTA","65","604","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9220 mm2 abbiat, (z.d. 5)","VIA ","BARTOLOMEO D'ALVIANO","78","6612","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9305 mm3 maciac, (z.d. 9)","VIA ","OLGETTINA","60","2530","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9306 mm3 zara, (z.d. 2)","VIA ","SAN VIGILIO","","5424","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9307 mm3 sondri, (z.d. 2)","VIA ","TRIVULZIO ANTONIO TOLOMEO","15","6277","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9309 mm3 repubb, (z.d. 2)","VIA ","SANZIO RAFFAELLO","7","6283","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9310 mm3 turati, (z.d. 1)","LGO ","ZANDONAI RICCARDO","3","6485","8","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9311 mm3 monten, (z.d. 1)","VIA ","MAROCHETTI CARLO","21","4185","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9313 mm3 missor, (z.d. 1)","VIA ","GALLARATE","105","7420","8","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9313 mm3 missor, (z.d. 1)","VLE ","MONZA","70","2274","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9314 mm3 crocet, (z.d. 1)","VLE ","MONZA","70","2274","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9315 mm3 pta ro, (z.d. 1)","VIA ","LODOVICO IL MORO","59","5290","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9316 mm3 lodi, (z.d. 4)","VIA ","FABRIANO","3","1642","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9317 mm3 brenta, (z.d. 4)","PZA ","MISSORI GIUSEPPE","","525","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9318 mm3 corvet, (z.d. 4)","VLE ","MONZA","70","2274","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9319 mm3 porto, (z.d. 4)","RIP ","DI PTA TICINESE","97","5150","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9320 mm3 rogore, (z.d. 4)","VIA ","CASTELVETRO LODOVICO","32","7195","8","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","codvia 9321 mm3 s.dona, (z.d. 4)","VLE ","MONZA","70","2274","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","MM1-BANDE NERE codvia 9125 mm1 bande nere, (z.d. 6)","VLE ","ARGONNE","32","3254","4","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione metrop.","MM1-CADORNA F.N.M. codvia 9115 mm1 cadorn, (z.d. 1)","VIA ","SAN PROSPERO","","721","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PLE CADORNA LUIGI N. 1 int. staz. cadorna - carrozze, (z.d. 1)","PLE ","CADORNA LUIGI","1","601","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PLE CADORNA LUIGI N. 14 (z.d. 1)","PLE ","CADORNA LUIGI","14","601","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PLE EGEO N. 8 int. staz. ff.ss. greco, (z.d. 9)","PLE ","EGEO","8","1629","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA BOTTINI ENRICO N. 10 interno staz.ff.ss. lambrate, (z.d. 3)","PZA ","BOTTINI ENRICO","10","2572","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA","PZA ","DUCA D'AOSTA","","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA int. stazione centrale - piano ammezzato (a5) - negozio, (z.d. 2)","PZA ","DUCA D'AOSTA","","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA int. stazione centrale - piano ammezzato (a5) - negozio, (z.d. 2)","PZA ","DUCA D'AOSTA","","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA N. 4 int. staz.centr.lat p.iv novem, (z.d. 3)","PZA ","DUCA D'AOSTA","4","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA N. 4 int. staz.centr.p.1 rivendita7, (z.d. 3)","PZA ","DUCA D'AOSTA","4","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA N. 4 int.staz.centr.galleria carroz, (z.d. 3)","PZA ","DUCA D'AOSTA","4","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA N. 4 int.staz.centr.p.1 rivendita 6, (z.d. 3)","PZA ","DUCA D'AOSTA","4","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA N. 4 int.staz.centrale p.1 rivend.5, (z.d. 3)","PZA ","DUCA D'AOSTA","4","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA N. 4 int.staz.centrale rivendita 2, (z.d. 3)","PZA ","DUCA D'AOSTA","4","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA N. 4 staz.centr.marciap.di testa 4, (z.d. 3)","PZA ","DUCA D'AOSTA","4","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA num.000 , (z.d. 2)","PZA ","DUCA D'AOSTA","","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA DUCA D'AOSTA num.000 stazione centrale ffss riv. 7, (z.d. 2)","PZA ","DUCA D'AOSTA","","1200","2","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","PZA SIGMUND FREUD N. 1 int. stazione  garibaldi ff.ss. - piano interrato (z.d. 9)","PZA ","SIGMUND FREUD","1","1705","9","PERIODICI","","No"
"rivendita in stazione ferrov.","PZA SIGMUND FREUD N. 1 int. stazione  garibaldi ff.ss. - piano interrato (z.d. 9)","PZA ","SIGMUND FREUD","1","1705","9","PERIODICI","","No"
"rivendita in stazione ferrov.","PZA SIGMUND FREUD N. 1 int.staz.ff.ss. garibaldi n.2, (z.d. 9)","PZA ","SIGMUND FREUD","1","1705","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","VIA AMORETTI CARLO N. 68 stazione quarto oggiaro, (z.d. 8)","VIA ","AMORETTI CARLO","68","7340","8","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","VIA AMORETTI CARLO N. 68 stazione quarto oggiaro, (z.d. 8)","VIA ","AMORETTI CARLO","68","7340","8","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","VIA ASTESANI ALESSANDRO N. 54 interno stazione f.n.m.affori, (z.d. 9)","VIA ","ASTESANI ALESSANDRO","54","1558","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in stazione ferrov.","VIA BOVISASCA num.000 interno stazione f.n.m. bovisa, (z.d. 7)","VIA ","PARUTA PAOLO","29","2363","2","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in stazione ferrov.","VIA CANDIANI GIUSEPPE num.152 staz. nord bovisa, (z.d. 7)","VIA ","CANDIANI GIUSEPPE","","1242","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in palazzo di giust.","VIA FREGUGLIA CARLO N. 1 (z.d. 1)","VIA ","FREGUGLIA CARLO","1","3014","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in ospedale","CSO DI PORTA NUOVA N. 23 (z.d. 1)","CSO ","DI PORTA NUOVA","23","1044","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in ospedale","PZA OSPEDALE MAGGIORE N. 3 (z.d. 9)","PZA ","OSPEDALE MAGGIORE","3","1523","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in ospedale","PZA OSPEDALE MAGGIORE N. 3 int. ospedale niguarda, (z.d. 9)","PZA ","OSPEDALE MAGGIORE","3","1523","9","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in ospedale","VIA BARTOLOMEO D'ALVIANO N. 78 int. ist. radaelli, (z.d. 6)","VIA ","BARTOLOMEO D'ALVIANO","78","6612","6","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in ospedale","VIA BIANCHI MOSE' N. 90 (z.d. 7)","VIA ","BIANCHI MOSE'","90","6385","7","QUOTIDIANI","","No"
"rivendita in ospedale","VIA CASTELVETRO LODOVICO N. 32 (z.d. 8)","VIA ","CASTELVETRO LODOVICO","32","7195","8","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in ospedale","VIA DI RUDINI' ANTONIO N. 8 int. ospedale s. paolo, (z.d. 6)","VIA ","DI RUDINI' ANTONIO","8","5429","6","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in ospedale","VIA GRASSI GIOVANNI BATTISTA N. 74 (z.d. 8)","VIA ","GRASSI GIOVANNI BATTISTA","74","7465","8","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in ospedale","VIA OLGETTINA N. 60 presso accettazione, (z.d. 3)","VIA ","OLGETTINA","60","2530","3","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in ospedale","VIA OLGETTINA num.000 all'interno bar - padiglione b, (z.d. 3)","VIA ","OLGETTINA","","2530","3","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in ospedale","VIA PIO II N. 3 interno ospedale s. carlo, (z.d. 7)","VIA ","PIO II","3","6832","7","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in ospedale","VIA RIPAMONTI GIUSEPPE N. 435 (z.d. 5)","VIA ","RIPAMONTI GIUSEPPE","435","4066","5","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in ospedale","VIA SAINT BON SIMONE N. 20 (z.d. 7)","VIA ","SAINT BON SIMONE","20","6670","7","XIV-QUOTIDIANI, PERIODI","","No"
"rivendita in ospedale","VIA SFORZA FRANCESCO N. 1 int. ospedale policlinico, (z.d. 1)","VIA ","SFORZA FRANCESCO","1","330","1","XIV-QUOTIDIANI, PERIODI","","Si"
"rivendita in ospedale","VIA TRIVULZIO ANTONIO TOLOMEO N. 15 (z.d. 7)","VIA ","TRIVULZIO ANTONIO TOLOMEO","15","6277","7","QUOTIDIANI","","No"
